key,城市,景点名称,星级,简介
c0a644a0e685a7f94dc6b61b94747cef,厦门,曾厝垵Zeng Cuo An Village,88,厦门文创新地标，美食与文化的激情碰撞，去寻找文艺外表下充满生命力的古朴村落。
ddcfafc3044e88726b7944ef7fb7bbc0,厦门,鼓浪屿Gulangyu Island,88,世界文化遗产，特色店铺众多，建筑漂亮，生活气息和文艺范儿并重。
543d75b28ea81c939d7bf7c68dc35f44,厦门,厦门园林植物园Xiamen Botanical Garden,92,环境很好的植物园，有多种稀有植物景观，也适合周末爬山休闲。
2c2d72f1613279c49b36223791553456,厦门,厦门科技馆Xiamen Science and Technology Museum,92,可以带孩子来这里感受新科技带来的乐趣，开拓孩子们的视野。
e91e55b178ece86c142b9549d6216347,厦门,中山路步行街Zhongshan Road Pedestrian Street,90,厦门地标式商业街，欣赏连排的骑楼式建筑，搜罗地道的闽南小吃，感受鹭岛的独特魅力。
ec8c39821d0aa59f6d0685326a853fb9,厦门,环岛路Huandao Road,94,享受海边骑行的快乐，边骑边看美丽风景。
4e37b6bc4bc84f615657ccb67a6610b1,厦门,南普陀寺South Putuo Temple,92,全国闻名的佛教寺院，寺内的素斋和素饼都获过奖，还可登高望远。
6fe460ec87976a4784c88a8fc8df5dde,厦门,椰风寨Yefeng Village,88,很长的免费沙滩，游客不多，可以远眺金门岛。
a7248401a04b2d91dc45c0dbd6f59843,厦门,厦门大学Xiamen University,92,依山傍海，中西结合的独特建筑风格，被誉为中国最美的大学之一。
b9875e5254cb97fef3d83a972788b4f6,厦门,白城沙滩Baicheng Beach,92,靠近厦大的免费沙滩，漫步、海边玩耍，这是天然的休闲公园。
16b4a4ea4185c96b3f9a8e4ead533b2c,厦门,集美学村Jimeixue Village,94,风格中西合璧的大学城，可以在校园里感受浓重的学术氛围。
c57bc2f92498f4f29f4dda0ca53c42a1,厦门,菽庄花园Xinzhuang Garden,92,看闽南风格融合西洋色彩的园林景观。这里也有很好的观海点。
eaead007fd971f9be73209be99b1a373,厦门,琴园Qinyuan Garden,86,鼓浪屿核心景点之一，百鸟园就在这个景区内。
461ee9c6e7f32d0c37a4761e6514c0de,厦门,钟鼓索道Zhonggu Cableway,92,在高空中俯瞰厦门全景，在天然氧吧中任性遨游。
d284304fb95fcf614e8516f930ed2c1b,厦门,嘉庚公园Jiageng Park,92,陈嘉庚建筑群的重要组成部分，了解陈嘉庚先生的生平。
b890f0050bbe45c5b7a06ca23f56a52f,厦门,海湾公园Bay Park,94,可在公园内远眺大海，吹海风，附近的酒吧街更是泡吧族们的最爱。
c0193a035820babdca3f920a49cc4bdb,厦门,铁路文化公园Railway Culture Park,90,由铁路轨道改建的免费公园，适合散步。
0b1746fffd4f97cabe539f880b473b16,厦门,白鹭洲公园Bailuzhou Park,92,草坪修建得很漂亮，有个很大的湖，环境很好的免费公园！
19877950005d2a17771f53e65cadc630,厦门,五缘湾湿地公园Wuyuanwan Wetland Park,94,漫步木栈道，看水鸟在氤氲雾气中起落飞翔，享受城市绿肺的清新空气。
a5356215f23f43ddf9284972e157d0ce,厦门,胡里山炮台Hulishan Fort,92,这里有着大大小小的炮台，带你走近并了解那段历史。
f1ca76742a8bdead2d94fb1cab81de36,厦门,灵玲马戏城Lingling International Circus City,94,精彩绝伦的马戏艺术文化展演与独具特色的建筑文化的完美碰撞。
511e88bcb93e6e52d1fedf18dcfbf3bc,厦门,珍珠湾Pearl Bay,96,沙细水清，还有轻风拂面，来到海边千万不要错过这个沙滩浴场。
945614f025c4e0a418fac5cbe6bb4d32,厦门,翠丰温泉,84,景色优美的同安汀溪水库风景区，幽雅舒适的环境，天然纯净的温泉，汇粹了闽南地域文化。
42e87e58de54d8cb539678f52682049d,厦门,日光岩Sunlight Rock,92,鼓浪屿的最佳观景点，从上而下俯视鼓浪屿全岛及厦门市区景象。
be5347393b09563f6b295648bc3f8b35,厦门,海天堂构Sea paradise,94,看中西合并的建筑风格，随意遐想当时人们的生活。
9d5554ecbb7f5a159b436619a217fc52,厦门,厦门海底世界Xiamen Underwater World,80,有迄今为止中国发现最大的抹香鲸骨架。
8427d8b7469294302d46ac25cf5af55a,厦门,钢琴博物馆Piano museum,92,在音乐之岛鼓浪屿逛钢琴博物馆，看各种造型奇特的的古钢琴。
b7640a51a1f004ae8ac8a1f3937ee1c9,厦门,皓月园Haoyue Garden,92,看郑成功巨型石像，纪念人民英雄。
efd41fd465c8949ff7801e3db5c2a42d,厦门,八卦楼Organ Museum,90,在音乐之岛鼓浪屿逛风琴博物馆，看各种复古的风琴。
9331db7ac8de96f289255732731ea977,厦门,万国建筑博览World Architecture Expo,92,各种风格各异、中西合壁的中外建筑非常值得一看。
8f3d8bff423ec09aab2df0d2c237d871,厦门,郑成功纪念馆Zheng Chenggong Memorial Hall,92,是国内非常大的郑成功文物文献收藏中心和研究基地。
a444ecb1c115ce09d1414ee16243bbfe,厦门,三一堂Trinity Church,88,白色的顶，红色的墙，漂亮的教堂。
490cddfa60c3f52d66a8a28baa086e68,厦门,龙山洞Longshan Cave,82,一个凉爽的隧道 ，夏天是个避暑的好地方。
f994542b300bfadf58c0d763b0421e56,厦门,笔山洞Bishan Cave,84,连接龙头路到内厝奥的一条隧道，感觉充满了故事。
bee986c41e2abf85f741d771b91b7d43,厦门,毓园Yu Garden,92,为纪念林巧稚大夫而建的纪念馆，恬静的园林景观，景色不错。
e6220bd4f699e703e593ecfe5525ccb4,厦门,五老峰Wulao Peak,94,享受游山的乐趣，站在山顶可以鸟瞰厦门大学和鼓浪屿。
c1256e5bd64bc099fd7a3040bb94390d,厦门,《闽南神韵》演出Min Nan Shen Yun Performance,82,闽南文化的精华，感受浓浓的闽南民俗气息。
3337b784ff0bf7241d60ac1d71ec0014,厦门,鼓浪屿龙头路,92,鼓浪屿龙头路是鼓浪屿主要街道之一，美食、购物，应有尽有，小资情调十足。
ae52643d00975662fbb330cf6f7f18c9,厦门,厦门园林博览苑Xiamen Horticultural Expo Garden,92,园林大观园，一次性参观多种园林风格，空气清新很适合漫步。
c53ede9ebc43ba994fc43cb30e7bed83,厦门,天界寺Xiamen Tianjie Temple,94,厦门小八景之一，可焚香祈福，也可登高赏美景。
78c03cea4b95b3f9a35d5b461a2aa7a9,厦门,鼓浪屿日本领事馆旧址,66,日本领事馆建于1897年，由中国工匠王天赐设计承建，以拱券宽廊仿英式别墅为基调，使用西洋双柱桁架与中国传统坡顶相折衷，具有维多利亚时代的某些建筑特征，女墙和廊沿压条下均采用闽南土陶烧制的花瓶为装饰，古朴典雅。领事馆面积600平方米，两层…
3dd87dfc0a165f5a170238829afa2920,厦门,华侨博物院Oversea Chinese Museum,90,全面及系统地展示华侨华人历史的综合性博物馆。
7195ab75c70cbed4169aa87ca26834f8,厦门,景州乐园,50,"景州乐园以“山水有情、人间有爱”为主题,园里的布局典雅、浪漫,五彩缤纷的花园里，错落着形态各异的艺术雕像，充满了欧美的艺术情调。"
e2813218044cab906b4d8b50afca86f4,厦门,紫云岩,100,"紫云岩位于醉仙岩东面，周围群山峥嵘，时有云雾潦绕，瞵息之间，气象万千，仿佛飘浮在茫茫烟海之中。清人郑光沂在危岩下刻“紫云得路”四字，固而名声远扬。
紫云岩有达中庵，建于明代，清废，民国十九年（公元1930年）重修，有大雄宝殿、客堂、积…"
5dff16c7eb44ce2a8182e8b0d222abc9,厦门,一朵一果,80,一朵一果是专卖特色的明信片和笔记本的小店。
00a11fe101a8230a0e67b9f8eac910b8,厦门,不在书店ONCE Bookstore,76,这是一处将花店和书店融为一体的小小天堂，不定期举办读书会、民谣演出等活动。
89347b7afd35b9c91c5aaa4475b923f9,厦门,同安影视城Xiamen Tong'An Movie & TV City,84,各种仿古建筑，亲临古城，沉醉在古建筑的魅力里。
42f863bafb59a3c699b2f097c5ba7260,厦门,文曾路花溪,80,文曾路的花溪，每年的春节以后盛开。盛开期间，吸引了众多的市民，前来赏花摄影。
8da041aae0028f7c120ad7ae126399c3,厦门,孔庙,80,座落在同安县城东溪西畔，始建于五代，现存的建筑是清朝乾隆年间重建的大成殿。现在的孔庙已成为同安区博物馆，陈列着200多件从全县各地收集的石雕、碑刻，神态各异，造型逼真，精湛的工艺令游人赞叹不已，人称“同安兵马俑”。
56e19f1c1f0d136a51e0f8898139bc86,厦门,华新路Huaxin Road,94,隐藏着厦门半个世纪的历史，漫步每栋建筑，寻找背后的历史故事。
d8fe1b8301e0e6b601fad4ddd2369aa6,福州,平潭岛Pingtan Island,94,福建第一大岛，有三大海滨沙滩，保留着原始海岛风貌。
96e8897a98724a0c6d0fdbe9eb335fe7,福州,三坊七巷Sanfang Qixiang,90,白墙灰瓦，木质房屋，感受南方细腻的手工艺，来此看一下名人故里，吃吃特色小食。
0ab98c57691e9c31faa809108f085dc6,福州,福州国家森林公园Fuzhou National Forest Park,92,环境清幽的森林公园，是休闲锻炼的好去处。
4d5d6a649a97b5991712b4756df81829,福州,林则徐纪念馆Lin Zexu Memorial Hall,92,全国最大的林则徐纪念馆，古典园林式祠堂建筑，可以看到各种有关林则徐的资料展示。
793b1c957d16418400f315d52f3d57df,福州,泛船浦天主教堂Fanchuanpu Catholic Church,92,作为福建最大的教堂，独具哥特式建筑，每日可参加教堂礼拜。
33b92cfa59414ea2638eaafae7be7f39,福州,南后街Nanhou Street,92,福州城内“三坊七巷”的中轴，古色古香，另有名人故居，是传统与现代相结合的休闲文化商业街。
aa4df6fc297fbeb61b84537fb60be0a5,福州,鼓山Drum Mountain,90,福州知名景点，是个爬山锻炼身体的好地方，山上的千年古刹涌泉寺香火旺盛。
7ee58df51053504582ae1221f52dfda5,福州,左海公园Zuohai Park,88,福州市区面积最大的公园，集文化、娱乐、餐饮、休闲为一体，是放松心情的好去处。
4e77692763b29c670f57e63437123a20,福州,鼓岭Guling Scenic Area,92,鼓岭风景宜人，从近代至今都是福州著名的夏天避暑场所。
febfb16e8fabcf511695a058849cc2fc,福州,乌山Wushan,90,参观著名的乌塔，观摩福州现存最古老的石刻“般若台”，是个安静闲适的小憩之地。
063a1c0ac2f432d6c6fb6b28454f6ec1,福州,海坛古城Haitan Ancient City,84,畅玩主题乐园，探秘充满海上奇闻怪事的古街，共享一场闽海风情的声光盛宴。
107d4456db3491178dce13a8cf474515,福州,西禅寺Xichan Temple,92,西禅寺名列福州五大禅林之一，香火很旺，寺里还有千年荔枝树。
84fbe7cf46f13848cfa6afd34b207d60,福州,于山Yushan,90,环境舒适宜人，白塔是福州的标志之一，还能去戚公祠瞻仰抗击倭寇的民族英雄戚继光。
cb5111d3c8c196e018124d733c08d283,福州,福州五一广场Wuyi Square,86,福州市政治文化中心，在这里会举行升旗仪式。
142637d367a33cf555cb3d4464038efc,福州,温泉公园Hot Spring Park,90,一座具有欧式风格的休闲公园，可以听音乐会，可以欣赏花卉树木。
2c73f21c1496b40d54ea054869ff102a,福州,青云山Qingyun Mountain,90,穿越惊险石廊，观赏各型瀑布，享受理想的避暑游览胜地。
cd29b55fb4e13c79ded8dc11889cd4e4,福州,中国船政文化博物馆China Shipping Heritage Museum,88,是中国第一个以船政为主题的博物馆，弘扬文化，具有历史意义。
b3d49358308deede8ae51f0bbc01642b,福州,福州开元寺Kaiyuan Temple,90,是福州现存最古老的佛寺之一，内有许多珍贵文物。
652a258e2c6e2be0ee7eed8de6b2f570,福州,福建博物院Fujian Museum,90,一座规模较大的综合性博物馆，馆内展品极具福建特色。
db97c118dcbb4f39f84fa667a583042f,福州,郎官巷Fuzhou Langguan Trail,92,参观宋代诗人陈烈、清代名人严复的故居，感受浓浓的文化气息。
8db2c0762ca6a7920076d4c56444101a,福州,涌泉寺The Gushan Spring Temple,88,福州市鼓山涌泉寺为“闽刹之冠”，又是全国重点寺庙之一。
9e0868f0974b7c5b9672e81c45b44686,福州,光禄坊Fuzhou Guanglu Square,90,三坊七巷之一。
161e7b7fc6148becde248b1b8bc2b3bc,福州,衣锦坊Yijin Alley,90,到著名的水榭戏台，听听古典特色的闽南曲艺。
25a972f1b85d0b86c6e861e6a855b52b,福州,白塔bai ta,88,白塔为福建省文物保护单位，历史悠久。
ef7839789657e36af84a6d6ef46fb2c2,福州,华林寺Hualin Temple,86,福州华林寺是全国重点文物保护单位，我国长江以南最古老的木建筑寺院，具有历史纪念意义。
8b6728341f088115fba244d1f3afb2c6,福州,江滨公园Jiangbin Park,92,具有其独特的闽江流域文化特色和榕城风情，是市民和游客游憩、休闲活动的公共绿地。
f3a7eaa09a9896bfdc40786d6e1ef435,福州,永泰中国云顶Fuzhou Yunding,90,坐山崖峡谷观光索道，观峡谷风貌与瀑布流水，理想的避暑游览胜地。
dd79a99bcce9ea6d4439d36dda8584a8,福州,福州动物园Fuzhou Zoo,88,这里是动物的天堂，因地制宜的分区展馆，使人更直观地游览。
13770aeb6f7505e8dab2994af81af9d5,福州,百祭沟,80,"方圆五平方公里洞瀑联缀的百祭沟景区，位于福州市永泰县城西四十一公里处，与花岗岩鼓石堆叠如陈、洞径犬牙交错的玉石岭景区隔溪相望。
若说百祭沟，民间早有传说：世人如为柴米油盐谋续，或为单身寻偶，或为商场问利，或为仕途求，只要站在百祭沟…"
81b2d5d1da10695a46bb7f4be8825716,福州,青芝寺,60,青芝寺位于连江县青芝山莲花峰之山腰。相传因过去山上盛产青色灵芝，又因山势奇伟，岩洞众多而得名。该寺前为天王殿，钢筋混凝土结构，外观似西式建筑，兼采中国宫殿式飞檐翘角，独成一格。后为大雄宝殿，建于明万历年间，1931年毁于火，1934年由林…
73579273a936da32c62794d655864822,福州,石鼓名山Shigu Mingshanfang Mountain,86,位于涌泉寺内，古色古香，具有历史韵味。
2ad418595bd8e6c6330a04b8f2373168,福州,榕城古街(老药洲街店)Yucheng Ancient Street,82,榕城古街是一条古色古香的美食街，展示福州灿烂的榕城美食文化和地方民俗特色。
8878418445284af55439157be88b7660,福州,金山寺Jinshan Temple,90,闽江的一个著名景点，著名的金山寺八景也出于此。
8da041aae0028f7c120ad7ae126399c3,福州,孔庙,80,位于福州市圣庙路，唐大历七年（772）观察使李奇从城西北移建于此。宋太平兴国时期（976-983）正式改学宫为孔庙。后经宋熙宁、明洪武和清咸丰三度大火，原庙范围缩小。现存的庙宇，为咸丰元年（1851）12月至四年（1854）6月重建的。中轴有棂星门、…
4f5e7e88d5769f3f46178eb0faa4a3ae,福州,福州旗山国家森林公园Qishan National Forest Park,88,绝美的岭南风光，在森林氧吧中悠闲漫步，登山访古。
8c1b6a8bc5599ca2b3d351960474c360,福州,大后溪漂流,0,大后溪漂流位于福清市一都镇，素有“水上绿宝石，东方第一漂”之美称。大后溪漂道全长6公里，漂流时间3个小时。从起漂点开始，途经龙潭、和尚潭、姜母潭、龟岩潭、水花潭，最后到达与永泰县交界处的观音潭。沿途经过50多个大小弯道，14道叠水激流，…
0c58d66224014e4ed49cdebf3bd7e9b7,福州,罗星塔公园Luoxing Tower,90,国际公认的航标，福州马尾的标志性建筑物。 公园山不高，可以进行轻度的运动，还可以从上而下看看宽广的闽江。
e4356798de6640738e44e901c3c15d9d,福州,登山古径Ancient Mountain Path,86,古时登鼓山之道，经过“七亭七里路”就可到达涌泉寺山门。
3bd021adf77267b11b35d66fccaded93,福州,中国近代海军博物馆,70,"中国近代海军博物馆位于福州市经济技术开发区（马尾）昭忠路马限山东麓，于1998年5月对外开馆。该馆为五层建筑，依山而建，建筑面积4100平方米，正面造型如两艘乘风破浪的战舰，是一座颇具现代建筑风格的馆宇。
馆内陈列分为：创建船政、造船育才、…"
ee6fe424bc5385330a202933a9d51d59,福州,于山碑廊,0,在九仙观内，两侧陈列着十九面古碑，形成碑廊。其中有：宋蔡襄撰写的《刘蒙伯墓碣铭》；南宋《石敢当》碑；元代《三皇朝五龙堂欧冶池官地》碑；明代经书写的《福州府四学新立学田记》碑；清嘉初状元龚用卿题额、林则徐撰写的《刘家镇墓志铭》，严复…
8e7cdf15e075f1ec5c52727b2dd92734,福州,福州白塔定光寺Dingguang Pagoda Temple,92,俗称“白塔寺”，为宫殿式建筑，历史悠久。
c7eed755fc2d41a8eacd14e477ba9c31,福州,灵岩寺,00,在乐清雁荡山灵岩之阳，寺以岩名，四周奇峰嶙峋，古木参天。始建于979年（北宋太平兴国四年），寺有殿宇、禅房百余间，号称“东南首刹”，为雁荡十八古刹之一，名闻京师。宋太宗赐御书经书，真宗赐额“灵岩禅寺”，仁宗赐金字藏经。明清时重建，规…
373bbec25dcc37056d649ea4379de143,长沙,马王堆汉墓遗址Mawangdui Han Tombs,78,遗址中出土了著名的马王堆女尸，体验“盗墓笔记”的现实版。
0e50e867c1e6e004a4710172bfefa5ef,长沙,湖南博物院Hunan Provincial Museum,96,丰富的馆藏文物，尤其马王堆汉墓文物颇具特色。
3c10d799abed581fc087e5f2f43bc217,长沙,太平老街Taiping Street,90,长沙的老街，逛逛老宅古居，淘淘小店，吃吃臭豆腐。
cbb10d0a26740b5a8c5b59ea763a0d6c,长沙,橘子洲Orange Island,92,长沙市的地标，有主席雕像。
ed8e6856f34f622a497f80c47ebca8e9,长沙,岳麓山Yuelu Mountain,92,长沙的地标，山中有岳麓书院等景点。
6091a862a53dbaae92f90aa292924915,长沙,杜甫江阁Du Fu River Pavilion,92,为纪念杜甫而建，长沙的地标之一，观看焰火的好位置。
ccbbfe4501d8c4ef80cfe564b723b36d,长沙,长沙海底世界Changsha Sea World,94,能够观赏到多种珍稀的海洋动物和精彩的表演。
906c09c1138f077c91e686b949351ea8,长沙,岳麓书院Yuelu Academy,92,岳麓书院是历史上知名的四大书院之一，千年书院。
04deb7ebe426d6498c06c21bfe69423e,长沙,天心阁Tianxin Pavilion,86,长沙仅存的一段古城墙，纪念长沙会战中阵亡将士的崇烈门。
2edb5ae1d43ab52792eaaed975304578,长沙,湖南大学Hunan University,92,岳麓山下的开放式大学，景色优美，还有众多的景点和小吃。
35fa52662099aaf2879a8eca298e6c61,长沙,洋湖湿地公园Yanghu Wetland Park,90,市郊的湿地公园，城市的绿肺，市民休闲娱乐的地方。
ca5dd94e25a6f81fceee48abf3b07458,长沙,爱晚亭Autumn-Admiring Pavilion,90,岳麓山中赏红叶好去处，名诗词句流传已久。
4ed94e6fe4080bafaa658fe84c179f57,长沙,靖港古镇Jinggang Ancient Town,84,在小镇上感受晚清时期的长沙民风，参观太平军水战遗迹等景点。
ba6743560fc381da1a772797a5d59a75,长沙,大围山国家森林公园Dawei Mountain National Forest Park,86,天然的氧吧，赏花、漂流、滑雪，长沙人游山的休闲去处。
9071efedf61b1b849652eaebd7625243,长沙,古开福寺Kaifu Temple,88,数数罗汉测凶吉，在大悲殿内转观音像，祈求心想事成。
08af1f19f93ff3aa54dce731af295cf6,长沙,贾谊故居Former Residence of Jia Yi,86,西汉贾谊的故居，还有当年遗留的水井古迹。
936d97a0b8a56a1a93124dcacc4ac6dc,长沙,湖南第一师范Hunan First Normal School,92,千年学府，名人辈出，参观革命活动陈列馆和校史陈列室。
712e67a69c8cd964b09edb10af152087,长沙,天际岭国家森林公园,74,湖南省天际岭国家森林公园，占地140公顷，境内有山有谷，有平坦的草地、开阔的斜坡和碧波荡漾的湖面，森林覆盖率达85%以上。辟有樱花园、桂花园、茶花园、竹园、木兰园、杜鹃园、梅园和花卉盆景园。
a1083712cf8cc18f68b27176f185cb1c,长沙,白沙古井Baisha Well,90,长沙第一泉，在这口古井取水，是长沙市民的千年传统。
40b80d0323b998283f14ec7e61e15f1c,长沙,乔口古镇,74,​乔口古镇位于湖南望城县，地处三地四县交界。
af62faec61207e8768c531e5fa02bfe6,长沙,茶亭镇惜字塔,80,茶亭镇惜字塔位于长沙市望城区茶亭镇九峰山村洞庭组，为一座清代石塔，其因塔上生树，树塔共生而闻名遐迩，备受当地人推崇，奉为神塔、神树，为当地一宝。
1b2c6b8066eff9a9e1d004221fa7f745,长沙,长沙简牍博物馆Changsha Bamboo and Wooden Slips Museum,88,观赏古老的汉代简牍，感受中国的简牍文化，是文物爱好者的大爱。
bf7b5258be4d5f0519a46cc0a4b8a8cb,长沙,湘江Xiang River,90,长沙的母亲河，两岸是秀丽的长沙沿江风光带。
17ef55ecbd79c8907364e7ac3f9f9c3a,长沙,古麓山寺Lushan Temple,88,岳麓山幽静之处的古老寺庙，让人清静放松的地方。
786ebcca84046b17131e0b62a7543ef1,长沙,长沙摩天轮Changsha Ferris Wheel,86,乘坐浪漫的摩天轮，俯瞰整个长沙城。
cfc90954d411de93150d249c51558329,长沙,月亮岛Moon Island,92,长沙保卫战的拍摄基地，是踏春、野营的好去处。
d6bf8797cdc805ff8a578db7a855f97f,长沙,灰汤温泉华天城旅游度假区Huitang Huatiancheng Hotspring Holiday Hotel,92,高温复合温泉，所产的汤鱼、汤鸭肉嫩味美。
d377fda99ac7f07320a890aa1d8215e5,长沙,白沙井公园,80,"白沙古井公园分为名胜古迹区、沙水品茗区、健身休闲区三大部分。名胜古迹区以古井为核心，挖掘古井文化内涵，坚持对文物严格保护，永续利用的原则，以延续并集中体现市民凭栏汲水这一富有传统特色的民俗文化。
此区主要景点有牌坊、白沙井碑廊和古…"
e6870d22f879b5b45ab632104a0c0872,长沙,橘子洲烟火Orange Isle Fireworks,92,音乐烟火与诗词意境在澄澈的夜空交相辉映，与烟花来场浪漫约会。
27c1bbdb45813f87bead713a8792548c,长沙,月亮潭,00,月亮潭 位于“迷人谷”上游，形似上下两水缸口对接，下部装水呈圆形，上部呈下大上小圆形，上有一斜形瀑布倾泻入潭，在潭内形成旋转状态，相传“迷人谷”有一天仙，每逢八月十五月圆时，都要邀聚天下群仙汇聚于此，饮酒赏月，故称月亮潭。
46551b338e97a852c9e1a9ee322be57c,长沙,栗木桥景区,00,栗木桥景区有着“千年长旱不断流、万年连雨水碧青”的美誉。
a4861dd65fc1713287fb6c3388c27aad,长沙,迷人谷,00,在周洛这块名胜宝地，有一个美丽的迷人谷
cfd12b1754e5854973b7fb68de4b3e5b,长沙,六朝松,0,麓山寺自古居于岳麓山半腰。寺庙山门上有“古麓山寺”的横额，两旁为对联“汉魏最初名胜，湖湘第一道场”，揭示出此寺久远的历史和在湖南佛教中的重要地位。寺门外古枫参天，浓荫笼盖，寺门内园圃中百花争艳。观音阁为砖木结构，厅堂神龛中置观音像…
c10513e418b492d83180f4b26e0e8a7b,长沙,八路军驻湘办事处,80,红色记忆，抗日战争革命地点。
655b6700722bb71eeb37ebaf74973d62,长沙,石燕湖Shiyan Lake,94,群山环抱，湖水清幽，负离子含量很高，是一个天然的大氧吧。
8624dd983e795c711dc3cc20789533b4,长沙,雷锋纪念馆Lei Feng Memorial Hall,96,无私奉献精神鼓舞着我们一代又一代人。
b7e873a95c7da39e52a16b093e172dc6,长沙,船底窝,0,船底窝景区属于大围山自然保护区的核心保护区，动、植物资源非常丰富。
6b04837187c0ea0e9c4b8e08c0592688,长沙,野鸭湖,00,野鸭是雁形目鸭科动物，以鱼虾、昆虫、草籽为食，它们喜欢群体活动，生性好动、机警。这里放养着几百只野鸭、野鹅，它们在水里自由翱游、嬉戏追逐，充分享受着大自然的美好。
6401238ea01869292e9885041c56d8b1,长沙,李富春纪念馆,94,伟大的共产主义战士、优秀的中国共产党员李富春的故居。
37098b1b1abb7e1d90aa4310ca9d427b,长沙,长沙生态动物园Changsha Ecological Zoo,86,观赏放养区内各种野生动物，还有很多爬行和灵长类动物。
65172876f0a4019be5318c891268ac37,长沙,湖南省植物园Hunan Forestry Botanical Garden,94,树木茂盛，开满鲜花，市民踏青的地方。
19edbaa2eb0059d1080604c3a1e2dd09,长沙,东方红广场Dongfanghong Square,90,湖南大学的中心，游览岳麓山的必经之地
7b95adcb887d5fc72f0f87e0effeccd0,长沙,中共湘区委员会旧址陈列馆,100,"中共湘区委员会旧址陈列馆位于八一路。此时原为旧城区的东北郊，离城约0.5公里，当时有一座砖木结构的三开间平房，因门前有两口池塘，池水明亮清澈，故名清水塘。
该房曾为中共湘区委员会的秘密驻址，现建立纪念馆，周围环境和室内陈设恢复了当年…"
f5fdb2433498f4f280019c39ed33d27a,长沙,长沙市博物馆Changsha Museum,88,观代青铜大铙、青铜编铙等长沙本地文物，赏诗词长廊。
d8cbc3194ee209c4d2c500b7e7550053,长沙,千佛洞Thousand Buddha Cave,88,乘船浏览神奇的溶洞，洞内的石钟乳、石笋、石柱千姿百态。
b9d488381524c8b30caa7262cd20b233,长沙,花炮博物馆,00,"中国第一座由农民自费兴办的花炮博物馆在湖南浏阳市大瑶镇路东村落成开馆。
花炮业在我国有着悠久的历史。据《中国实业志》记载：中国花炮""始于唐，盛于宋，发源于浏阳也""。改革开放以来，浏阳花炮业发展迅速，多次代表中国在国际烟花大赛中夺魁，…"
d2b714d38bf48ef0f88acbde7a3c7cf6,长沙,湘绣城,0,湘绣城是全国最大的刺绣生产基地及首家国家级非物质文化遗产保护研究基地。湘绣城由星沙湘绣城、金霞湘绣城、长沙湘绣城三个板块组成；占地面积300亩，其中集中绿化面积35亩，实际使用面积265亩，建筑面积40万平方米；是一个集湘绣、服装、家纺、陶…
582e6307eec0f7ae58bd77b5cd12c895,长沙,云山书院,0,"云山书院在县城西45公里之水云山下？清同治三年(公元1864年)由县人浙江按察使刘典为便利县境西部学生入学而倡建.宅地雄伟巍峨,建筑古朴大方,占地7200平方米.有讲堂？文昌阁？先师堂等？原建共有房屋158间。院东半里处建有魁星楼？楼3层？高5丈。沩…"
59d962955033b1245ee124404e596e2a,长沙,长沙工人文化宫,80,长沙市工人文化宫，位于东塘广场西南侧，占地而积40000多平方米，其中建筑面积25000平方米，是一座集文化、娱乐、学习、游览于一体的多功能的职工文化活动中心，规模为全省第一。有文化、科技、教育图书楼、影剧院、 科技交流中心、服务楼、游泳池…
29427ef4b9909c058b4183377f608a0d,长沙,龙王井,80,龙王井密印寺建寺之初工匠众多。施工、生活用水都在前面小溪汲取．众人因饮水不洁，患者人数与日俱增。玉帝闻讯派龙王化身为一个腰弯背曲、双眼突出、容貌奇丑的怪老头．求灵佑一口水喝。灵佑亲自献上香茶，怪人见水浑浊。遂掷于地。如此反复。灵佑…
3b13875a62934f28bdfea8933c1c4bcc,长沙,楚缯书,0,"在长沙子弹库楚墓出土的缯书，是写在丝织品上的书,呈长方形，长约46厘米，宽约38厘米。中心有两段文字，共948字，行文颠倒排列，可分为甲、乙编，甲编13行，乙编8行，四周用朱、绛、青三色绘有神物和树木等图象和解说词，此缯书是我国最早用毛笔与…"
0993364523eb0768cc0a4cf049cafc2a,长沙,白云寺,0,"白云寺位于宁乡县城西35公里的回龙山。始建于唐宣宗大中十二年（公元885年），后毁于火，清顺治年间重建，后屡加修葺，寺宇主大小房屋300间，有南楚灵山之称。。
正殿供二十四位诸天，各殿共有大型佛像30多尊，有左宗棠等名流题写的匾额40多块。195…"
b80cda7d64c7ea295892174f41582fb5,长沙,谭嗣同纪念馆,80,中国近代伟大爱国主义思想家、改革家谭嗣同曾在这里居住多年。
f38d50821bf5e579371d899edac8e9f9,长沙,中国湘绣博物馆Hunan Embroidery Museum,90,这是一座向世人展示湘绣历史与技艺的专业性博物馆。
42a4a3a6cb942da3c90283d3b4c3447f,长沙,清水塘,100,"位于八一路。此地原为旧城区的东北郊，离城约0.5公里，当时有一座砖木结构的三开间平房，因门前有两口池塘，池水明亮清澈,故名清水塘。该房曾为中共湘区委员会的秘密址，现建立纪念馆，周围环境和室内陈设恢复了当年的原貌。纪念馆内展出了中共湘区…"
f02dd7277d6d7b714baff3745631987d,长沙,天龙瀑布,0,天龙瀑布坐落于周洛风景区内，位于浏阳市社港镇境内，地处海拔1359.7米的连云山脉西部，是捞刀河发源地。
